GameID,TeamID,PlayerID
G1,A1,1
G1,A1,2
G1,A1,3
G1,A1,4
G1,A1,8
G1,A1,9
G1,A1,10
G1,A1,11
G1,A1,17
G1,A1,18
G1,A1,19
G1,A2,1
G1,A2,3
G1,A2,5
G1,A2,6
G1,A2,7
G1,A2,8
G1,A2,10
G1,A2,13
G1,A2,14
G1,A2,17
G1,A2,18
G2,A3,23
G2,A3,2
G2,A3,6
G2,A3,7
G2,A3,8
G2,A3,9
G2,A3,13
G2,A3,17
G2,A3,19
G2,A3,21
G2,A3,22
G2,A4,1
G2,A4,2
G2,A4,3
G2,A4,4
G2,A4,6
G2,A4,8
G2,A4,9
G2,A4,10
G2,A4,15
G2,A4,21
G2,A4,22
G3,B3,12
G3,B3,2
G3,B3,5
G3,B3,6
G3,B3,7
G3,B3,8
G3,B3,9
G3,B3,10
G3,B3,14
G3,B3,16
G3,B3,18
G3,B4,1
G3,B4,3
G3,B4,4
G3,B4,7
G3,B4,8
G3,B4,9
G3,B4,10
G3,B4,11
G3,B4,18
G3,B4,20
G3,B4,23
G4,B1,1
G4,B1,3
G4,B1,5
G4,B1,6
G4,B1,7
G4,B1,8
G4,B1,11
G4,B1,14
G4,B1,16
G4,B1,17
G4,B1,21
G4,B2,1
G4,B2,3
G4,B2,4
G4,B2,5
G4,B2,6
G4,B2,8
G4,B2,15
G4,B2,18
G4,B2,19
G4,B2,21
G4,B2,22
G5,C1,1
G5,C1,2
G5,C1,4
G5,C1,5
G5,C1,6
G5,C1,7
G5,C1,10
G5,C1,11
G5,C1,12
G5,C1,13
G5,C1,21
G5,C2,1
G5,C2,5
G5,C2,7
G5,C2,10
G5,C2,11
G5,C2,13
G5,C2,15
G5,C2,16
G5,C2,19
G5,C2,20
G5,C2,23
G6,D1,23
G6,D1,3
G6,D1,5
G6,D1,10
G6,D1,11
G6,D1,13
G6,D1,14
G6,D1,16
G6,D1,17
G6,D1,18
G6,D1,19
G6,D2,1
G6,D2,2
G6,D2,6
G6,D2,7
G6,D2,8
G6,D2,10
G6,D2,11
G6,D2,14
G6,D2,17
G6,D2,18
G6,D2,20
G7,C3,1
G7,C3,2
G7,C3,6
G7,C3,8
G7,C3,10
G7,C3,13
G7,C3,15
G7,C3,17
G7,C3,18
G7,C3,19
G7,C3,20
G7,C4,1
G7,C4,4
G7,C4,6
G7,C4,7
G7,C4,8
G7,C4,9
G7,C4,10
G7,C4,14
G7,C4,17
G7,C4,20
G7,C4,23
G8,D3,23
G8,D3,2
G8,D3,3
G8,D3,4
G8,D3,6
G8,D3,7
G8,D3,9
G8,D3,10
G8,D3,17
G8,D3,18
G8,D3,21
G8,D4,23
G8,D4,2
G8,D4,4
G8,D4,5
G8,D4,6
G8,D4,8
G8,D4,9
G8,D4,10
G8,D4,11
G8,D4,12
G8,D4,18
G9,E3,1
G9,E3,2
G9,E3,3
G9,E3,5
G9,E3,6
G9,E3,10
G9,E3,11
G9,E3,15
G9,E3,16
G9,E3,20
G9,E3,21
G9,E4,1
G9,E4,3
G9,E4,4
G9,E4,6
G9,E4,9
G9,E4,10
G9,E4,11
G9,E4,15
G9,E4,20
G9,E4,21
G9,E4,22
G10,F1,1
G10,F1,2
G10,F1,5
G10,F1,6
G10,F1,7
G10,F1,8
G10,F1,9
G10,F1,10
G10,F1,13
G10,F1,17
G10,F1,18
G10,F2,13
G10,F2,2
G10,F2,3
G10,F2,7
G10,F2,11
G10,F2,14
G10,F2,15
G10,F2,16
G10,F2,18
G10,F2,22
G10,F2,23
G11,E1,1
G11,E1,2
G11,E1,3
G11,E1,5
G11,E1,9
G11,E1,10
G11,E1,11
G11,E1,12
G11,E1,14
G11,E1,15
G11,E1,19
G11,E2,1
G11,E2,2
G11,E2,5
G11,E2,9
G11,E2,10
G11,E2,11
G11,E2,13
G11,E2,14
G11,E2,15
G11,E2,22
G11,E2,23
G12,F3,1
G12,F3,2
G12,F3,4
G12,F3,6
G12,F3,7
G12,F3,8
G12,F3,9
G12,F3,10
G12,F3,17
G12,F3,18
G12,F3,20
G12,F4,23
G12,F4,2
G12,F4,6
G12,F4,7
G12,F4,9
G12,F4,11
G12,F4,13
G12,F4,16
G12,F4,17
G12,F4,19
G12,F4,20
G13,G1,1
G13,G1,2
G13,G1,5
G13,G1,6
G13,G1,7
G13,G1,9
G13,G1,10
G13,G1,11
G13,G1,14
G13,G1,15
G13,G1,20
G13,G2,1
G13,G2,2
G13,G2,4
G13,G2,5
G13,G2,6
G13,G2,7
G13,G2,8
G13,G2,11
G13,G2,15
G13,G2,20
G13,G2,21
G14,G3,22
G14,G3,2
G14,G3,4
G14,G3,8
G14,G3,9
G14,G3,10
G14,G3,11
G14,G3,12
G14,G3,13
G14,G3,17
G14,G3,23
G14,G4,1
G14,G4,2
G14,G4,5
G14,G4,6
G14,G4,7
G14,G4,8
G14,G4,9
G14,G4,10
G14,G4,12
G14,G4,18
G14,G4,20
G15,H3,1
G15,H3,3
G15,H3,4
G15,H3,6
G15,H3,9
G15,H3,11
G15,H3,16
G15,H3,17
G15,H3,20
G15,H3,21
G15,H3,23
G15,H4,1
G15,H4,3
G15,H4,5
G15,H4,7
G15,H4,8
G15,H4,10
G15,H4,14
G15,H4,15
G15,H4,17
G15,H4,19
G15,H4,22
G16,H1,1
G16,H1,2
G16,H1,4
G16,H1,7
G16,H1,9
G16,H1,10
G16,H1,11
G16,H1,13
G16,H1,16
G16,H1,19
G16,H1,20
G16,H2,16
G16,H2,3
G16,H2,5
G16,H2,6
G16,H2,9
G16,H2,10
G16,H2,12
G16,H2,13
G16,H2,18
G16,H2,19
G16,H2,22
G17,A1,1
G17,A1,2
G17,A1,3
G17,A1,4
G17,A1,6
G17,A1,8
G17,A1,11
G17,A1,17
G17,A1,18
G17,A1,19
G17,A1,22
G17,A3,23
G17,A3,2
G17,A3,6
G17,A3,7
G17,A3,8
G17,A3,9
G17,A3,10
G17,A3,13
G17,A3,17
G17,A3,19
G17,A3,21
G18,B1,1
G18,B1,3
G18,B1,5
G18,B1,6
G18,B1,7
G18,B1,8
G18,B1,10
G18,B1,11
G18,B1,14
G18,B1,17
G18,B1,21
G18,B3,12
G18,B3,2
G18,B3,4
G18,B3,5
G18,B3,7
G18,B3,8
G18,B3,10
G18,B3,13
G18,B3,14
G18,B3,16
G18,B3,17
G19,A4,1
G19,A4,2
G19,A4,3
G19,A4,4
G19,A4,5
G19,A4,6
G19,A4,7
G19,A4,9
G19,A4,15
G19,A4,21
G19,A4,22
G19,A2,22
G19,A2,3
G19,A2,4
G19,A2,6
G19,A2,7
G19,A2,9
G19,A2,13
G19,A2,14
G19,A2,17
G19,A2,18
G19,A2,19
G20,B4,1
G20,B4,3
G20,B4,6
G20,B4,8
G20,B4,9
G20,B4,10
