GameID,TeamID,PlayerID,Color_Card,Time
G59,D3,22,Yellow,114
G60,F3,7,Yellow,90+4
G60,F3,11,Yellow,87
G60,G4,6,Yellow,87
G61,C1,10,Yellow,90+3
G61,C1,13,Yellow,87
G61,G1,2,Yellow,71
G61,G1,5,Yellow,90+4
G61,G1,10,Yellow,63
G62,D3,17,Yellow,48
G62,D3,18,Yellow,96
G62,G4,2,Yellow,54
G63,G1,6,Yellow,90+3
G63,G4,5,Yellow,52
G63,G4,6,Yellow,76
G64,C1,13,Yellow,27
G64,C1,21,Yellow,41
G64,D3,2,Yellow,90+2
