GameID,TeamID,PlayerID,Extra_Information,Color_Dot
G46,H2,11,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H3,10,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H3,5,MISSES NEXT MATCH IF BOOKED,Yellow
G46,H3,8,ABSENT,White 
G47,G2,2,SUSPENDED,Red
G47,G2,11,SUSPENDED,Red
G47,G2,10,INJURED,Purple
G47,G3,1,ABSENT,White 
G47,G3,2,ABSENT,White 
G47,G3,11,ABSENT,White 
G47,G3,22,ABSENT,White 
G48,G4,21,MISSES NEXT MATCH IF BOOKED,Yellow
G48,G4,2,MISSES NEXT MATCH IF BOOKED,Yellow
G48,G1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G48,G1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G48,G1,15,MISSES NEXT MATCH IF BOOKED,Yellow
G49,A4,6,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,5,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,23,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,16,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,20,MISSES NEXT MATCH IF BOOKED,Yellow
G49,B1,21,MISSES NEXT MATCH IF BOOKED,Yellow
G50,C1,6,MISSES NEXT MATCH IF BOOKED,Yellow
G50,C1,14,MISSES NEXT MATCH IF BOOKED,Yellow
G50,C1,12,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,2,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,7,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,14,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G50,D1,8,MISSES NEXT MATCH IF BOOKED,Yellow
G51,B2,5,MISSES NEXT MATCH IF BOOKED,Yellow
G51,A1,17,MISSES NEXT MATCH IF BOOKED,Yellow
G51,A1,8,MISSES NEXT MATCH IF BOOKED,Yellow
G51,A1,10,MISSES NEXT MATCH IF BOOKED,Yellow
G51,A1,23,SUSPENDED,Red
G52,D3,2,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,7,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,11,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,17,MISSES NEXT MATCH IF BOOKED,Yellow
G52,D3,18,MISSES NEXT MATCH IF BOOKED,Yellow
